Name	Description	T2_normalize	C1_normalize
ENSG00000044574	HSPA5	980.8006567	5714.391521
ENSG00000210082	MT-RNR2	7618.226279	13897.8747
ENSG00000104419	NDRG1	1752.092544	446.4298541
ENSG00000198804	MT-CO1	14957.34976	19763.14061
ENSG00000051108	HERPUD1	40.30304761	622.9075596
ENSG00000134333	LDHA	1644.375522	569.721623
ENSG00000128422	KRT17	2045.840832	822.4984812
ENSG00000075624	ACTB	4406.28021	2655.465908
ENSG00000117525	F3	618.2409246	124.8241368
ENSG00000135069	PSAT1	175.3545914	715.1688781
ENSG00000103257	SLC7A5	1402.165945	2559.437519
ENSG00000166598	HSP90B1	1485.231588	2659.743769
ENSG00000072274	TFRC	2556.979621	1410.480822
ENSG00000109971	HSPA8	1226.252365	481.8020136
ENSG00000102144	PGK1	1496.187757	657.6412324
ENSG00000171346	KRT15	386.2608308	1065.761889
ENSG00000184009	ACTG1	3553.711441	2213.697007
ENSG00000001084	GCLC	176.5284665	659.3012977
ENSG00000090861	AARS	244.3896313	776.3358976
ENSG00000103044	HAS3	353.2805283	44.31097236
ENSG00000151632	AKR1C2	623.7190087	1325.306705
ENSG00000005884	ITGA3	854.4134297	316.3701269
ENSG00000115008	IL1A	390.3973433	65.76412324
ENSG00000196924	FLNA	3144.532095	2008.998192
ENSG00000074800	ENO1	4407.845377	3054.456206
ENSG00000197930	ERO1A	804.7193807	293.959246
ENSG00000159167	STC1	343.3864376	49.80195741
ENSG00000013588	GPRC5A	497.6112758	124.0579529
ENSG00000026508	CD44	1040.500594	453.7724504
ENSG00000137331	IER3	366.2490541	65.50872859
ENSG00000118503	TNFAIP3	512.4803613	141.105546
ENSG00000085662	AKR1B1	512.0331708	141.2332433
ENSG00000136068	FLNB	902.9336035	385.3266833
ENSG00000133657	ATP13A3	894.2692867	382.6450394
ENSG00000169429	CXCL8	348.6968253	66.27491255
ENSG00000080824	HSP90AA1	2420.083417	1529.175487
ENSG00000168003	SLC3A2	389.9501528	893.6258922
ENSG00000164171	ITGA2	395.7636298	94.87911373
ENSG00000101255	TRIB3	47.34629865	293.1292134
ENSG00000067225	PKM	2153.222461	1344.589001
ENSG00000125148	MT2A	501.9713836	160.7070856
ENSG00000112096	SOD2	1025.184318	502.4889805
ENSG00000155660	PDIA4	321.4182022	751.8180109
ENSG00000149925	ALDOA	2257.75325	1454.408702
ENSG00000125538	IL1B	218.2289846	24.77328138
ENSG00000159399	HK2	583.9749493	217.8516393
ENSG00000100345	MYH9	2096.093869	1335.011702
ENSG00000075618	FSCN1	529.9766913	187.3958269
ENSG00000091986	CCDC80	60.65021728	294.9808247
ENSG00000106541	AGR2	10.11768602	170.7951744
ENSG00000153395	LPCAT1	534.3926979	193.9722392
ENSG00000177606	JUN	325.6106135	77.57612596
ENSG00000157557	ETS2	529.9207925	206.0396366
ENSG00000071537	SEL1L	122.697905	388.9660571
ENSG00000158710	TAGLN2	1126.025785	625.3976575
ENSG00000144824	PHLDB2	287.9348104	69.46734572
ENSG00000130600	H19	247.4640663	585.9391835
ENSG00000106105	GARS	177.3669488	475.2256013
ENSG00000161638	ITGA5	193.4658083	27.71031989
ENSG00000170454	KRT75	148.9144505	10.9819701
ENSG00000175592	FOSL1	148.8585517	11.68430539
ENSG00000206073	SERPINB4	143.7158605	10.47118079
ENSG00000117394	SLC2A1	1204.340029	711.210261
ENSG00000116285	ERRFI1	373.2923051	125.9095641
ENSG00000107731	UNC5B	50.97972181	233.1753185
ENSG00000175793	SFN	544.3426875	236.6231464
ENSG00000058085	LAMC2	489.6177449	201.1871382
ENSG00000149428	HYOU1	164.4543219	431.3615696
ENSG00000100889	PCK2	24.03649164	170.7313258
ENSG00000198938	MT-CO3	4862.694057	6012.181686
ENSG00000120875	DUSP4	199.3351842	36.84067875
ENSG00000135919	SERPINE2	256.74327	65.82797191
ENSG00000079308	TNS1	189.273397	33.13745628
ENSG00000134013	LOXL2	336.0077936	110.3304903
ENSG00000156508	EEF1A1	9137.053057	10662.47138
ENSG00000166750	SLFN5	112.3007249	334.3116013
ENSG00000198886	MT-ND4	10807.30973	12424.50295
ENSG00000131016	AKAP12	353.0569331	124.8241368
ENSG00000134107	BHLHE40	341.0945861	120.4824277
ENSG00000170525	PFKFB3	347.858343	125.3987748
ENSG00000165799	RNASE7	112.5243202	7.597990938
ENSG00000111640	GAPDH	3673.838001	2845.543379
ENSG00000196230	TUBB	1020.488817	607.9669724
ENSG00000140105	WARS	100.9532649	302.0041776
ENSG00000109814	UGDH	197.2669279	452.4316285
ENSG00000167460	TPM4	588.3909559	291.1499048
ENSG00000034510	TMSB10	616.7875553	314.5185156
ENSG00000111669	TPI1	1095.505031	677.4981667
ENSG00000102580	DNAJC3	44.88675067	193.5252986
ENSG00000176171	BNIP3	334.7221208	126.8034454
ENSG00000198727	MT-CYB	2595.717502	3344.073743
ENSG00000168528	SERINC2	419.9678179	184.0756964
ENSG00000118515	SGK1	209.1174773	57.01685637
ENSG00000151012	SLC7A11	221.9742054	472.0970168
ENSG00000027697	IFNGR1	186.3107596	417.1233176
ENSG00000186081	KRT5	1302.274758	1831.307362
ENSG00000145623	OSMR	674.9782246	371.5992207
ENSG00000142192	APP	854.301632	507.9799656
ENSG00000136205	TNS3	124.6543636	319.1156194
ENSG00000196305	IARS	326.6726911	611.3509515
ENSG00000100219	XBP1	73.50694537	233.7499565
ENSG00000142619	PADI3	319.4617436	126.0372614
ENSG00000092621	PHGDH	108.890897	291.5329968
ENSG00000131389	SLC6A6	229.4087481	72.27668691
ENSG00000100664	EIF5	433.8307247	749.4556103
ENSG00000135047	CTSL	212.1919123	63.78481468
ENSG00000178209	PLEC	653.3453821	363.4265918
ENSG00000242265	PEG10	131.8653111	324.1596638
ENSG00000101307	SIRPB1	78.98502951	2.745492524
ENSG00000123384	LRP1	198.2172078	57.14455369
ENSG00000145113	MUC4	235.5017193	474.7786606
ENSG00000057149	SERPINB3	117.3316185	17.43068509
ENSG00000255717	SNHG1	78.59373779	234.7076865
ENSG00000175197	DDIT3	7.210947493	89.38812868
ENSG00000198380	GFPT1	166.8020722	371.0884314
ENSG00000129474	AJUBA	122.1389168	303.0896049
ENSG00000117318	ID3	164.9015124	366.4274789
ENSG00000072110	ACTN1	789.9620928	476.8218179
ENSG00000152952	PLOD2	317.169892	134.848377
ENSG00000165124	SVEP1	31.58283204	141.9355786
ENSG00000150093	ITGB1	691.9714652	406.8436828
ENSG00000164292	RHOBTB3	164.9574112	360.6810992
ENSG00000139318	DUSP6	83.17744085	6.831806978
ENSG00000137309	HMGA1	1238.997296	847.5910059
ENSG00000113013	HSPA9	693.8161262	1049.288933
ENSG00000167658	EEF2	2074.405128	2658.977585
ENSG00000150991	UBC	672.2950814	396.755594
ENSG00000096384	HSP90AB1	2920.210139	2309.980791
ENSG00000138166	DUSP5	137.4551929	31.47739103
ENSG00000180861	LINC01559	69.76172458	3.064735841
ENSG00000162298	SYVN1	57.51988349	185.9911563
ENSG00000196754	S100A2	254.1719244	98.39079021
ENSG00000205336	ADGRG1	188.6026112	387.6252352
ENSG00000082153	BZW1	613.9926144	355.1901142
ENSG00000074410	CA12	87.25805454	9.960391482
ENSG00000214049	UCA1	191.9006414	62.1885981
ENSG00000182197	EXT1	1040.444695	696.3973711
ENSG00000107159	CA9	110.6237604	20.17617762
ENSG00000129521	EGLN3	252.4949599	99.9870068
ENSG00000065911	MTHFD2	151.9329867	329.9060435
ENSG00000106366	SERPINE1	103.3010152	17.43068509
ENSG00000173281	PPP1R3B	127.5611022	29.24268781
ENSG00000116260	QSOX1	276.1960586	117.2899946
ENSG00000139514	SLC7A1	158.1377555	336.6101532
ENSG00000141582	CBX4	29.62637342	127.825024
ENSG00000169403	PTAFR	157.0197791	45.14100498
ENSG00000137801	THBS1	322.3125833	149.0866289
ENSG00000130707	ASS1	291.121043	519.089633
ENSG00000165474	GJB2	172.2242576	54.07981785
ENSG00000179218	CALR	638.5880942	957.7937988
ENSG00000115009	CCL20	161.2680893	48.52498414
ENSG00000137975	CLCA2	237.0668862	94.30447576
ENSG00000104765	BNIP3L	323.0392679	152.4706081
ENSG00000205420	KRT6A	58.63785984	1.979308564
ENSG00000134684	YARS	128.6790785	286.1697091
ENSG00000176046	NUPR1	61.37690192	180.3086253
ENSG00000089157	RPLP0	1548.620848	2011.424441
ENSG00000073756	PTGS2	176.0253772	59.44310557
ENSG00000196517	SLC6A9	14.58959144	90.21816131
ENSG00000128228	SDF2L1	11.73875173	83.38635433
ENSG00000111674	ENO2	110.735558	24.07094608
ENSG00000184792	OSBP2	152.1006832	45.84334028
ENSG00000105281	SLC1A5	164.5102207	335.4608772
ENSG00000142634	EFHD2	305.542938	144.0425845
ENSG00000116584	ARHGEF2	69.03503995	190.7798061
ENSG00000130766	SESN2	17.21683587	95.00681106
ENSG00000147874	HAUS6	212.8626981	83.32250566
ENSG00000184575	XPOT	312.0272008	533.0724903
ENSG00000185033	SEMA4B	285.4752624	132.7413711
ENSG00000110092	CCND1	740.9388296	480.9081323
ENSG00000100316	RPL3	1221.389168	1618.244372
ENSG00000147642	SYBU	13.58341272	83.06711101
ENSG00000149948	HMGA2	149.9206293	48.01419483
ENSG00000170345	FOS	96.53725829	19.79308564
ENSG00000163235	TGFA	95.25158549	19.21844767
ENSG00000064205	WISP2	93.96591268	18.96305301
ENSG00000172201	ID4	7.546340399	66.72185319
ENSG00000158125	XDH	89.38220962	17.30298777
ENSG00000124731	TREM1	49.694049	1.468519257
ENSG00000184254	ALDH1A3	270.0471887	126.7395967
ENSG00000164733	CTSB	1199.476832	1580.892904
ENSG00000116133	DHCR24	729.9267625	1032.75213
ENSG00000049130	KITLG	140.4178302	287.8297744
ENSG00000136628	EPRS	389.9501528	616.0757526
ENSG00000035403	VCL	463.7924911	270.9098786
ENSG00000108179	PPIF	147.852373	49.9935034
ENSG00000020577	SAMD4A	66.96678369	8.619569551
ENSG00000166986	MARS	162.6655597	315.8593376
ENSG00000182199	SHMT2	177.5905441	336.2270612
ENSG00000171492	LRRC8D	70.93559975	180.6917173
ENSG00000140044	JDP2	11.962347	73.93675215
ENSG00000065060	UHRF1BP1	47.06680457	141.297092
ENSG00000135926	TMBIM1	235.6135169	107.3296031
ENSG00000143384	MCL1	672.4627778	439.6618958
ENSG00000091409	ITGA6	585.3165209	369.8753068
ENSG00000124762	CDKN1A	115.9341481	32.94591029
ENSG00000128590	DNAJB9	9.167406115	66.84955052
ENSG00000166123	GPT2	63.72465226	168.0496819
ENSG00000171314	PGAM1	542.050836	336.8655478
ENSG00000075426	FOSL2	415.3841149	240.0709742
ENSG00000058262	SEC61A1	271.4446591	454.7301803
ENSG00000182718	ANXA2	1142.180544	838.7798904
ENSG00000157514	TSC22D3	5.981173502	56.18682374
ENSG00000197956	S100A6	402.5832856	233.0476212
ENSG00000152104	PTPN14	170.9944836	319.6264087
ENSG00000163931	TKT	1274.604843	1638.739793
ENSG00000142949	PTPRF	912.4364025	647.680841
ENSG00000230439	MIG7	49.24685846	3.894768464
ENSG00000120129	DUSP1	62.71847354	9.130358858
ENSG00000003137	CYP26B1	57.29628822	6.959504305
ENSG00000188910	GJB3	74.12183237	14.42979792
ENSG00000142627	EPHA2	219.011568	102.2855587
ENSG00000088367	EPB41L1	109.2262899	229.0251554
ENSG00000135925	WNT10A	9.726394293	63.08247938
ENSG00000102287	GABRE	69.14683759	167.6027413
ENSG00000115756	HPCAL1	76.13418981	16.15371183
ENSG00000134757	DSG3	63.16566408	158.2169878
ENSG00000139289	PHLDA1	186.1430632	81.47089443
ENSG00000086570	FAT2	388.9998729	590.8555306
ENSG00000163814	CDCP1	290.506156	155.5991926
ENSG00000188229	TUBB4B	505.4371103	321.1587766
ENSG00000173391	OLR1	428.3526406	636.8265682
ENSG00000198840	MT-ND3	573.9690609	811.7719058
ENSG00000174437	ATP2A2	871.5743667	1159.427878
ENSG00000057019	DCBLD2	147.2933848	57.33609968
ENSG00000119655	NPC2	206.3225364	96.41148165
ENSG00000174444	RPL4	1692.616202	2083.12649
ENSG00000114251	WNT5A	104.5307892	216.7662121
ENSG00000069275	NUCKS1	876.5493615	1161.087943
ENSG00000136689	IL1RN	67.41397423	13.53591663
ENSG00000078124	ACER3	134.2689603	50.88738469
ENSG00000114270	COL7A1	342.8274494	198.8247377
ENSG00000131737	KRT34	36.83732091	0.319243317
ENSG00000163220	S100A9	39.57636298	2.29855188
ENSG00000104635	SLC39A14	189.7764863	330.5445301
ENSG00000086061	DNAJA1	210.4590489	101.9024667
ENSG00000149573	MPZL2	77.53166025	18.83535569
ENSG00000198888	MT-ND1	1999.277116	2408.43543
ENSG00000120694	HSPH1	220.5767349	109.5643063
ENSG00000137393	RNF144B	105.3133727	214.1484169
ENSG00000197747	S100A10	411.9183882	254.2453774
ENSG00000198899	MT-ATP6	2666.26181	3132.415424
ENSG00000163395	IGFN1	34.82496347	0.510789307
ENSG00000128342	LIF	68.2524565	14.68519257
ENSG00000101608	MYL12A	312.3625937	178.0100734
ENSG00000104413	ESRP1	112.9156119	223.789565
ENSG00000147459	DOCK5	222.1978006	112.0544042
ENSG00000011422	PLAUR	52.48898989	7.725688265
ENSG00000137033	IL33	36.89321973	1.9154599
ENSG00000184164	CRELD2	37.45220791	109.3089116
ENSG00000204388	HSPA1B	110.735558	38.500744
ENSG00000197746	PSAP	1060.009281	801.6199683
ENSG00000053747	LAMA3	273.7365106	151.0659375
ENSG00000139793	MBNL2	68.02886123	155.9822845
ENSG00000113407	TARS	502.9216635	709.7417417
ENSG00000163110	PDLIM5	279.158696	155.8545872
ENSG00000096433	ITPR3	304.8721521	175.3284295
ENSG00000135269	TES	67.80526596	155.3437979
ENSG00000083857	FAT1	886.4434523	1154.192287
ENSG00000031698	SARS	81.72407158	175.3922782
ENSG00000160213	CSTB	209.9559596	105.9887812
ENSG00000272398	CD24	403.4776667	588.0461894
ENSG00000176907	TCIM	84.2954172	24.58173539
ENSG00000142541	RPL13A	1144.304699	1441.702818
ENSG00000062716	VMP1	279.6058865	157.8977445
ENSG00000142623	PADI1	32.03002258	0.95772995
ENSG00000084112	SSH1	181.5593601	86.89803081
ENSG00000170421	KRT8	1328.379506	1646.273936
ENSG00000110880	CORO1C	302.8597947	176.0307648
ENSG00000172927	MYEOV	43.26568496	5.107893068
ENSG00000103187	COTL1	421.9801754	269.8244513
ENSG00000114268	PFKFB4	67.86116478	16.34525782
ENSG00000136167	LCP1	35.32805283	2.29855188
ENSG00000115963	RND3	269.8235934	151.7682728
ENSG00000254087	LYN	184.6896939	89.89891799
ENSG00000182158	CREB3L2	20.51486612	75.27757408
ENSG00000122641	INHBA	31.86232613	1.276973267
ENSG00000171444	MCC	89.66170371	183.0541178
ENSG00000144136	SLC20A1	176.8079606	85.49336022
ENSG00000139644	TMBIM6	1068.505902	821.7322972
ENSG00000143878	RHOB	121.3563334	48.46113548
ENSG00000168036	CTNNB1	494.4250432	331.6938061
ENSG00000149257	SERPINH1	140.9209196	252.5853122
ENSG00000145050	MANF	52.71258516	127.1226887
ENSG00000187244	BCAM	84.85440538	174.4983969
ENSG00000164211	STARD4	85.2456971	174.8176402
ENSG00000185630	PBX1	51.81820408	125.1433802
ENSG00000206527	HACD2	221.9742054	355.8286008
ENSG00000073737	DHRS9	72.83615956	20.36772361
ENSG00000143013	LMO4	17.66402642	67.74343181
ENSG00000112414	ADGRG6	75.68699927	160.5793883
ENSG00000211459	MT-RNR1	962.9689338	1223.531936
ENSG00000185215	TNFAIP2	206.2666376	335.3331799
ENSG00000101187	SLCO4A1	75.01621345	21.7723942
ENSG00000188994	ZNF292	163.5599408	78.27846126
ENSG00000142871	CYR61	74.79261818	21.83624286
ENSG00000151914	DST	925.6285235	702.9099348
ENSG00000150347	ARID5B	29.68227224	88.23885274
ENSG00000113083	LOX	145.6164203	66.5303072
ENSG00000164983	TMEM65	125.8841376	53.37748256
ENSG00000172757	CFL1	551.4977362	384.3689533
ENSG00000100558	PLEK2	72.55666547	21.00621024
ENSG00000115884	SDC1	283.742399	168.1135306
ENSG00000104368	PLAT	127.1698104	54.65445582
ENSG00000059728	MXD1	103.2451164	39.33077662
ENSG00000138709	LARP1B	26.83143253	82.49247304
ENSG00000168685	IL7R	32.86850485	2.68164386
ENSG00000125398	SOX9	47.1786022	8.491872225
ENSG00000116016	EPAS1	350.0942957	221.0440725
ENSG00000074416	MGLL	73.39514774	21.83624286
ENSG00000187735	TCEA1	230.5267245	361.8942238
ENSG00000038382	TRIO	402.471488	263.5034336
ENSG00000118785	SPP1	62.71847354	16.21756049
ENSG00000234741	GAS5	163.7835361	276.4647123
ENSG00000167635	ZNF146	363.8454049	524.1975261
ENSG00000142910	TINAGL1	150.5914151	71.19125963
ENSG00000214856	KRT16P1	28.11710534	1.14927594
ENSG00000172137	CALB2	91.95355524	32.94591029
ENSG00000074527	NTN4	46.17242348	112.8844368
ENSG00000185567	AHNAK2	216.272526	119.0777571
ENSG00000141424	SLC39A6	517.175862	359.7872179
ENSG00000082781	ITGB5	92.40074578	33.71209425
ENSG00000117519	CNN3	134.045365	60.65623018
ENSG00000198142	SOWAHC	123.2009944	53.44133122
ENSG00000173530	TNFRSF10D	55.17213314	12.83358133
ENSG00000091527	CDV3	289.2204832	430.9784776
ENSG00000136830	FAM129B	363.4541132	234.5161405
ENSG00000041982	TNC	46.78731048	8.938812868
ENSG00000248527	MTATP6P1	457.9231152	632.1656158
ENSG00000143549	TPM3	852.792364	649.2132089
ENSG00000124225	PMEPA1	98.77321101	38.30919801
ENSG00000182795	C1orf116	65.01032507	18.38841504
ENSG00000164096	C4orf3	91.45046588	33.90364024
ENSG00000120742	SERP1	145.6164203	249.009787
ENSG00000157483	MYO1E	101.7358483	40.35235523
ENSG00000185479	KRT6B	40.02355353	6.257169008
ENSG00000077238	IL4R	87.36985218	31.54123969
ENSG00000130702	LAMA5	750.2180333	965.5833358
ENSG00000101577	LPIN2	197.6023208	107.4573004
ENSG00000120708	TGFBI	966.3787617	751.4987676
ENSG00000266976	AC079466.1	26.1047479	1.085427277
ENSG00000128272	ATF4	468.5438906	640.7851853
ENSG00000117595	IRF6	536.1255613	379.7718496
ENSG00000169504	CLIC4	264.9603962	397.0748373
ENSG00000139278	GLIPR1	63.10976527	18.00532306
ENSG00000125977	EIF2S2	273.6806118	407.2267748
ENSG00000127824	TUBA4A	110.5119627	46.99261622
ENSG00000078747	ITCH	284.1895896	174.9453376
ENSG00000157827	FMNL2	175.5222878	92.64441051
ENSG00000148120	C9orf3	28.56429588	80.83240779
ENSG00000182326	C1S	244.2219349	144.2979792
ENSG00000221963	APOL6	63.2215629	133.890647
ENSG00000082641	NFE2L1	273.4570165	405.6305582
ENSG00000107290	SETX	112.9156119	202.0810195
ENSG00000113369	ARRDC3	149.5852364	74.57523879
ENSG00000147065	MSN	678.1085584	504.5321377
ENSG00000196167	COLCA1	0.782583449	24.13479474
ENSG00000119630	PGF	47.01090575	10.21578614
ENSG00000204262	COL5A2	59.42044329	127.6973267
ENSG00000104812	GYS1	224.3219557	129.9958786
ENSG00000138413	IDH1	290.9533465	425.3597952
ENSG00000204387	C6orf48	47.23450102	109.3727603
ENSG00000275216	AL161431.1	54.89263905	14.42979792
ENSG00000114019	AMOTL2	142.2624912	239.4963362
ENSG00000179134	SAMD4B	238.0730649	141.1693947
ENSG00000245532	NEAT1	929.4855419	726.3423942
ENSG00000204389	HSPA1A	61.82409246	18.26071772
ENSG00000128016	ZFP36	67.69346832	21.64469687
ENSG00000198786	MT-ND5	3922.308246	4374.846564
ENSG00000162552	WNT4	12.40953755	50.63199003
ENSG00000165685	TMEM52B	29.5704746	80.89625646
ENSG00000145287	PLAC8	39.24097008	96.21993566
ENSG00000171401	KRT13	21.91233657	67.9349778
ENSG00000179918	SEPHS2	58.63785984	125.2072288
ENSG00000198833	UBE2J1	65.7370097	135.423015
ENSG00000090520	DNAJB11	59.25274684	125.7180181
ENSG00000115902	SLC1A4	46.06062585	106.1164785
ENSG00000152558	TMEM123	2098.665214	1791.529645
ENSG00000213585	VDAC1	554.6280699	402.4381251
ENSG00000196878	LAMB3	590.8505039	433.6601214
ENSG00000173706	HEG1	111.9094332	50.05735206
ENSG00000163629	PTPN13	101.9035448	184.5226371
ENSG00000135842	FAM129A	155.4546122	254.5007721
ENSG00000064195	DLX3	5.310387688	34.79752152
ENSG00000163207	IVL	22.47132474	0.638486633
ENSG00000039560	RAI14	204.0306849	116.8430539
ENSG00000148848	ADAM12	55.06033551	15.19598188
ENSG00000198771	RCSD1	8.105328577	40.9269932
ENSG00000153879	CEBPG	49.97354309	111.2243715
ENSG00000117472	TSPAN1	111.5740403	50.24889805
ENSG00000185650	ZFP36L1	376.7580318	254.5646208
ENSG00000146072	TNFRSF21	345.0634021	228.7697608
ENSG00000180398	MCFD2	118.2818984	205.3373013
ENSG00000129514	FOXA1	66.96678369	135.5507123
ENSG00000110048	OSBP	102.462533	184.2033937
ENSG00000251562	MALAT1	264.4573069	164.2826108
ENSG00000075651	PLD1	21.96823539	66.72185319
ENSG00000219481	NBPF1	67.52577187	136.1253502
ENSG00000169018	FEM1B	281.1151546	177.6269814
ENSG00000128965	CHAC1	4.248310151	31.79663435
ENSG00000170027	YWHAG	523.3806308	378.1117843
ENSG00000139946	PELI2	58.97325275	123.6748609
ENSG00000127954	STEAP4	31.86232613	4.341709107
ENSG00000118523	CTGF	51.70640644	13.79131128
ENSG00000112773	FAM46A	129.5175608	63.27402537
ENSG00000262001	DLGAP1-AS2	54.89263905	117.4176919
ENSG00000124942	AHNAK	966.266964	766.1839601
ENSG00000134308	YWHAQ	779.1736209	600.6882247
ENSG00000136295	TTYH3	132.9832875	65.82797191
ENSG00000172379	ARNT2	21.63284248	0.638486633
ENSG00000138759	FRAS1	91.17097179	167.8581359
ENSG00000104738	MCM4	427.5700571	298.6201985
ENSG00000164111	ANXA5	370.1060725	250.9252469
ENSG00000131051	RBM39	356.9139515	496.5510548
ENSG00000105220	GPI	421.3093896	293.6400027
ENSG00000072849	DERL2	32.98030249	83.83329497
ENSG00000136802	LRRC8A	106.8226408	48.0780435
ENSG00000125505	MBOAT7	361.2181605	244.2211373
ENSG00000099622	CIRBP	55.6752225	117.3538432
ENSG00000072310	SREBF1	287.4876198	412.4623652
ENSG00000196209	SIRPB2	20.96205667	0.19154599
ENSG00000135404	CD63	222.8126876	134.5929823
ENSG00000150961	SEC24D	34.37777293	84.72717626
ENSG00000116044	NFE2L2	162.4419644	258.0762972
ENSG00000060982	BCAT1	103.9159022	182.6710258
ENSG00000104267	CA2	66.40779551	23.24091346
ENSG00000157193	LRP8	153.6658501	82.68401903
ENSG00000130638	ATXN10	147.0697896	237.9001196
ENSG00000172380	GNG12	444.2838037	316.4339755
ENSG00000067057	PFKP	184.2425034	105.6695378
ENSG00000131504	DIAPH1	469.941361	338.2702184
ENSG00000181458	TMEM45A	55.17213314	16.79219846
ENSG00000006652	IFRD1	37.17271382	88.43039873
ENSG00000031003	FAM13B	43.76877432	98.32694155
ENSG00000118985	ELL2	221.5270148	134.5291337
ENSG00000136010	ALDH1L2	5.422185324	32.62666697
ENSG00000145592	RPL37	593.1982542	763.2469216
ENSG00000113580	NR3C1	158.0259578	251.1167929
ENSG00000117298	ECE1	219.4028598	133.1244631
ENSG00000261150	EPPK1	59.86763384	19.66538831
ENSG00000121039	RDH10	69.03503995	25.15637336
ENSG00000169991	IFFO2	79.76761296	31.92433167
ENSG00000143847	PPFIA4	39.74405944	8.874964205
ENSG00000047932	GOPC	98.71731219	174.0514563
ENSG00000146733	PSPH	14.08650208	49.73810875
ENSG00000272405	AL365181.3	47.45809629	12.89743
ENSG00000167842	MIS12	37.28451145	87.72806343
ENSG00000175895	PLEKHF2	27.78171243	72.85132488
ENSG00000230937	MIR205HG	103.4128129	179.8616846
ENSG00000113070	HBEGF	39.57636298	8.938812868
ENSG00000162729	IGSF8	74.23363	28.7318985
ENSG00000184916	JAG2	62.94206881	124.6964395
ENSG00000100342	APOL1	140.9209196	74.70293611
ENSG00000198668	CALM1	350.0942957	240.0709742
ENSG00000130821	SLC6A8	195.4222669	115.7576266
ENSG00000122884	P4HA1	115.7664516	56.76146171
ENSG00000140988	RPS2	2709.527495	3053.051535
ENSG00000181449	SOX2	12.40953755	46.03488627
ENSG00000065978	YBX1	1559.968308	1317.453319
ENSG00000099204	ABLIM1	248.5261438	359.7233693
ENSG00000135245	HILPDA	58.52606221	19.47384232
ENSG00000128165	ADM2	3.130333795	26.17795197
ENSG00000110852	CLEC2B	74.56902291	29.30653647
ENSG00000104327	CALB1	19.39688977	0.702335297
ENSG00000115919	KYNU	238.5761543	150.1720562
ENSG00000104231	ZFAND1	32.14182022	78.78925057
ENSG00000126803	HSPA2	49.58225137	14.55749524
ENSG00000169242	EFNA1	148.2995636	80.83240779
ENSG00000185551	NR2F2	102.7979259	177.3715868
ENSG00000134668	SPOCD1	25.88115263	3.128584504
ENSG00000132646	PCNA	158.584946	88.62194472
ENSG00000104331	IMPAD1	199.0556901	119.5246978
